"Year and week of notification"	"Age stratification: 5 year intervals"
""	"A00..04"	"A05..09"	"A10..14"	"A15..19"	"A20..24"	"A25..29"	"A30..34"	"A35..39"	"A40..44"	"A45..49"	"A50..54"	"A55..59"	"A60..64"	"A65..69"	"A70..74"	"A75..79"	"A80+"	"Unknown"
"2001-w01"	"1"	""	""	""	""	""	"1"	""	"1"	""	"1"	"1"	""	""	""	""	"1"	""
"2001-w02"	"2"	"1"	""	"1"	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""
"2001-w03"	"5"	"2"	"3"	""	""	"2"	"1"	"1"	""	"1"	"2"	"1"	"2"	""	""	"2"	"2"	""
"2001-w04"	"2"	"11"	""	""	"1"	""	"1"	""	""	"1"	""	"1"	""	"2"	""	""	"4"	""
"2001-w05"	"17"	"5"	""	""	"1"	""	"1"	""	"1"	""	"2"	""	""	""	"1"	"1"	""	""
"2001-w06"	"11"	""	"1"	""	""	""	""	""	"1"	""	"1"	"1"	"4"	"1"	"6"	"4"	"3"	""
"2001-w07"	"7"	""	"1"	"1"	""	"1"	""	""	""	"1"	""	"2"	"2"	"1"	"2"	""	"6"	""
"2001-w08"	"8"	"2"	"2"	"4"	"3"	""	"1"	"1"	""	""	"2"	"2"	""	"1"	"1"	"1"	"2"	""
"2001-w09"	"9"	"2"	"2"	"1"	"1"	"2"	"1"	""	"1"	"1"	"2"	""	""	"1"	"4"	"1"	"4"	""
"2001-w10"	"19"	"3"	"11"	""	""	"1"	"1"	""	""	""	"3"	""	"5"	"1"	"2"	"2"	"6"	""
"2001-w11"	"6"	""	"1"	""	"2"	""	"1"	"2"	""	"3"	"1"	""	"2"	"3"	"1"	"2"	"5"	""
"2001-w12"	"23"	"1"	"2"	"1"	"2"	"2"	"4"	"3"	""	"3"	""	""	"2"	""	"3"	"7"	"4"	""
"2001-w13"	"14"	"7"	"8"	"6"	"3"	""	""	"2"	"1"	"1"	"3"	"2"	"1"	"4"	""	"1"	"5"	""
"2001-w14"	"10"	"1"	""	""	"1"	"1"	""	"1"	"3"	"2"	""	""	"2"	""	"3"	"3"	"7"	""
"2001-w15"	"5"	"2"	"1"	"1"	"2"	""	"1"	"1"	""	""	""	"1"	"1"	""	"1"	""	"2"	""
"2001-w16"	"6"	"3"	"1"	""	"1"	""	""	"1"	"1"	"2"	"3"	"1"	"1"	""	"1"	"1"	"5"	""
"2001-w17"	"6"	"3"	""	""	"1"	"2"	""	""	"5"	"2"	"2"	"1"	""	"1"	""	""	"8"	""
"2001-w18"	"8"	""	"2"	""	"2"	"3"	"5"	"1"	""	"1"	"1"	""	"2"	"1"	"1"	""	""	""
"2001-w19"	"5"	""	""	"2"	"2"	"2"	"3"	"1"	"2"	"2"	"4"	"1"	""	""	"3"	"1"	""	""
"2001-w20"	"2"	"1"	"7"	""	"2"	""	"1"	"1"	""	""	""	"1"	""	""	""	""	"1"	""
"2001-w21"	"5"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""
"2001-w22"	"2"	"2"	""	"1"	""	"1"	""	"1"	""	"2"	"1"	""	""	""	""	""	""	""
"2001-w23"	""	"1"	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"2001-w24"	"2"	""	"1"	""	""	""	""	""	""	"1"	"1"	""	"1"	""	""	""	""	""
"2001-w25"	"1"	"1"	""	"2"	""	""	""	"1"	""	"1"	"2"	"1"	""	""	""	""	"1"	""
"2001-w26"	"1"	""	""	""	""	""	""	""	"2"	"1"	""	""	"2"	""	""	""	"1"	""
"2001-w27"	"5"	"1"	"1"	""	""	""	"1"	"2"	""	""	""	""	""	"1"	""	"1"	""	""
"2001-w28"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
