GENESIS-Tabelle: Temporär
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Berlin;Berlin;Brandenburg;Brandenburg;Bremen;Bremen;Hamburg;Hamburg;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern
;;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt
31.12.2002;unter 1 Jahr;48406;99888;55711;114154;13947;28652;8582;17773;2599;5450;7558;15475;26871;55205;6053;12468
31.12.2002;1-Jährige;50080;102792;56904;117380;13825;28283;8747;17970;2792;5709;7544;15413;27589;56612;6269;12920
31.12.2002;2-Jährige;52994;108138;60308;123028;14096;28731;9326;19064;2873;5897;7431;15384;29197;59257;6320;13022
31.12.2002;3-Jährige;53277;110356;60625;125393;13919;28319;9225;18855;2888;5845;7377;15265;28839;59282;6014;12384
31.12.2002;4-Jährige;55147;113404;62775;128975;13519;27598;8939;18495;2909;5963;7573;15359;29607;60904;5962;12117
31.12.2002;5-Jährige;57444;117929;64425;132305;13409;27706;8899;18151;2953;6141;7684;15691;30645;63041;5780;12061
31.12.2002;6-Jährige;56560;116052;63681;131010;13118;26811;8305;17221;2881;6077;7466;15343;30214;62060;5423;11254
31.12.2002;7-Jährige;55331;113971;62359;128208;12526;25611;7655;15770;2960;5969;7029;14562;29129;59934;4940;10123
31.12.2002;8-Jährige;55954;115217;63394;130738;12295;25594;7319;15054;2848;5853;7157;14830;29831;60994;4546;9429
31.12.2002;9-Jährige;58244;119577;66850;137459;12601;25857;7299;15033;2902;5991;7269;14753;30626;62634;4741;9985
31.12.2002;10-Jährige;58553;120805;68191;139086;12970;26925;7972;16513;2988;6205;7512;15298;31064;63383;5484;11290
31.12.2002;11-Jährige;60319;123602;68471;141357;13604;27967;10036;20153;3038;6315;7706;15772;31623;64668;6654;13609
31.12.2002;12-Jährige;62305;127626;71391;146607;16569;34040;15307;31538;3064;6442;7813;16262;32669;67107;10818;22060
31.12.2002;13-Jährige;60495;123877;69050;141319;17135;35076;16843;34402;3183;6450;7624;15708;32080;65729;11603;24140
31.12.2002;14-Jährige;62023;126963;69505;143051;17600;36331;17858;36936;3137;6485;7818;16199;32292;66521;12509;25879
31.12.2002;15-Jährige;58872;121177;66023;136528;17760;36234;18779;38400;3207;6437;7377;15287;31195;64253;13405;27729
31.12.2002;16-Jährige;58918;120823;66062;135990;17364;35653;18559;37683;3090;6376;7251;15211;30754;63062;13101;26908
31.12.2002;17-Jährige;56414;115733;63672;130160;17469;35529;18449;38577;3098;6345;7473;15356;29335;60721;13287;27292
31.12.2002;18-Jährige;56923;116746;64658;131896;17530;35786;18223;37764;3254;6441;7507;15482;30089;61848;12899;26649
31.12.2002;19-Jährige;59352;119282;66761;135685;18720;37742;17565;37042;3634;7169;8273;16749;31163;63096;12569;26550
31.12.2002;20-Jährige;62304;125239;70820;142268;20639;41115;16460;36097;4002;7700;9609;18790;33369;66824;12220;26198
31.12.2002;21-Jährige;64061;127448;72659;145749;22299;43782;15546;33795;4138;8020;10973;20638;33960;67885;11126;24372
31.12.2002;22-Jährige;65238;130295;73441;147010;23874;46757;15302;33512;4162;8247;11761;22301;34871;69542;11186;24645
31.12.2002;23-Jährige;62189;124137;71110;142479;23488;46171;14400;31621;4091;8061;11835;22616;34156;67768;10194;22844
31.12.2002;24-Jährige;61055;122866;71312;142689;23652;46743;13841;30301;4059;8063;11935;23498;34686;68416;9998;22237
31.12.2002;25-Jährige;61638;123567;71488;143506;23912;47364;13087;28534;4040;8084;12446;24224;34966;69162;9501;21172
31.12.2002;26-Jährige;61988;125852;71432;144358;23605;47188;11626;25417;4133;8347;12757;25593;35575;70790;8171;17999
31.12.2002;27-Jährige;61240;123925;70763;142967;23198;46841;10769;23605;3946;8019;12609;25686;35251;70377;7509;16827
31.12.2002;28-Jährige;63480;127845;72752;147126;22788;46218;10897;23391;3950;8161;12695;25990;36084;72234;7231;16102
31.12.2002;29-Jährige;63917;128636;73399;148972;22622;45942;11250;23910;4110;8314;12830;25740;36704;73832;7504;16452
31.12.2002;30-Jährige;69972;141487;80421;163150;23559;48313;12564;27037;4445;8948;13633;27765;40389;80730;8343;17991
31.12.2002;31-Jährige;75225;153335;87675;178336;26055;54027;15025;31942;4599;9553;14312;29398;43725;88612;9753;21051
31.12.2002;32-Jährige;78542;160453;92159;188029;26458;55096;15865;33381;4656;9851;14389;30164;45713;93221;10394;21952
31.12.2002;33-Jährige;84503;173004;98977;203211;27551;57724;16927;35055;5011;10506;15035;31798;48840;100327;10825;22899
31.12.2002;34-Jährige;88839;182305;103933;213124;29010;60408;18148;37096;5251;11102;15927;33951;51279;105621;11693;24413
31.12.2002;35-Jährige;90697;186499;106275;218273;29428;61235;19337;39822;5204;11174;16040;33889;52427;107354;12465;25700
31.12.2002;36-Jährige;92997;191299;107858;221463;31137;64280;21128;43186;5196;11372;16070;34013;53508;110097;13360;27828
31.12.2002;37-Jährige;92211;190763;106464;220615;31593;66368;22175;45921;5349;11213;15545;32868;53648;110481;14191;29706
31.12.2002;38-Jährige;93382;193716;108926;224112;32396;67349;23240;48022;5156;10986;15748;33293;54288;111710;14936;31161
31.12.2002;39-Jährige;92217;191124;108099;221442;32045;66721;24120;49852;5132;10472;15008;31650;53769;110634;15640;32647
31.12.2002;40-Jährige;89728;185741;105042;215042;30589;63606;24181;50019;5193;10558;14138;29461;51465;106135;15676;32508
31.12.2002;41-Jährige;89224;182655;103691;212112;28898;60142;24096;49637;4994;10203;13654;27996;50641;103181;15915;33079
31.12.2002;42-Jährige;86644;177373;100315;204757;27410;57224;23319;48018;4948;10048;13236;27828;49278;100808;15637;32472
31.12.2002;43-Jährige;82731;169555;96519;197676;26389;54739;22767;47192;4878;9792;12548;25756;47457;97500;15317;31686
31.12.2002;44-Jährige;79180;162436;92329;188895;24344;50205;21054;43622;4792;9563;12171;24766;45455;93303;14386;29901
31.12.2002;45-Jährige;77016;158150;90085;184204;23436;48345;20365;42432;4730;9452;11762;23656;44572;91376;14011;29277
31.12.2002;46-Jährige;76032;155164;86981;177667;23358;47688;20385;42254;4657;9182;11197;22565;43503;88587;14267;29407
31.12.2002;47-Jährige;72618;147394;83317;168728;23266;47289;20659;42862;4575;9114;10832;21838;42007;85410;14312;29609
31.12.2002;48-Jährige;71587;143294;82388;166202;23123;46600;20555;42203;4509;8865;10552;21028;41663;83864;14260;29601
31.12.2002;49-Jährige;69525;138125;79943;160153;23005;45965;20400;41785;4366;8551;10209;20211;40543;81276;14050;28959
31.12.2002;50-Jährige;69783;139162;81367;162021;23280;45698;19906;40668;4356;8622;10467;20611;41158;82205;13824;28157
31.12.2002;51-Jährige;67814;135195;78954;157661;23688;46250;19169;39703;4411;8685;10472;20476;40748;81180;13288;27223
31.12.2002;52-Jährige;69355;137382;80282;160637;25021;48741;18309;37428;4499;8826;11023;21379;41991;83711;12254;25230
31.12.2002;53-Jährige;67340;134919;78678;157580;23125;45651;15511;31617;4496;8963;10854;21398;41703;83604;10679;21800
31.12.2002;54-Jährige;62527;126423;75248;151397;21208;42189;13447;27349;4176;8424;10662;21081;39192;79361;9267;18988
31.12.2002;55-Jährige;58502;118253;74172;149227;19863;39429;13121;26380;4089;8087;10098;20249;37311;74776;8765;17738
31.12.2002;56-Jährige;51875;104281;66476;132830;15371;31474;8888;17845;3997;8047;9518;19099;32137;64609;5705;11746
31.12.2002;57-Jährige;45667;91309;54025;108341;17789;35278;10880;21208;3314;6650;8724;17252;27239;54696;6364;12611
31.12.2002;58-Jährige;58743;117913;69563;139857;23190;46383;16232;31877;4126;8320;10904;21578;36216;72832;9652;18992
31.12.2002;59-Jährige;60124;119558;69954;140604;24355;48526;17433;34444;4239;8658;10897;21877;35817;72415;10697;20901
31.12.2002;60-Jährige;58887;118468;68527;137513;23178;46241;17144;33572;4339;8581;10754;21425;34241;69023;10574;20526
31.12.2002;61-Jährige;71482;141320;83978;166533;26938;53371;21580;42325;4845;9612;12096;24190;41083;82676;13693;26646
31.12.2002;62-Jährige;75187;148281;90472;178167;26137;51389;21980;42680;4965;10044;12616;24764;44555;88636;14208;27274
31.12.2002;63-Jährige;74173;146122;89296;175171;24467;47650;21809;41930;5021;9720;12179;23452;43268;85641;14652;27622
31.12.2002;64-Jährige;70132;136614;81674;159234;22847;44038;20383;39025;4898;9445;11704;22492;39993;78658;13662;26106
31.12.2002;65-Jährige;65121;127141;75386;145879;22131;41700;18696;36008;4708;8962;10777;20957;37654;73448;12708;24060
31.12.2002;66-Jährige;63370;122877;73486;140363;21026;39856;18533;35260;4511;8621;10800;20346;36782;71511;12703;23441
31.12.2002;67-Jährige;60804;117231;69900;132723;20723;38729;18284;34652;4351;8004;10681;19831;35344;68059;12233;22700
31.12.2002;68-Jährige;55423;106262;64910;122303;19199;35716;16846;31863;4032;7391;9600;17333;32987;63298;11675;21597
31.12.2002;69-Jährige;46857;89366;55217;103177;14055;25749;13227;24518;3092;5676;7417;13465;26686;50675;9495;17359
31.12.2002;70-Jährige;46575;87466;56116;103069;13167;23906;13017;23971;3326;5709;7243;12896;26707;49699;9547;17345
31.12.2002;71-Jährige;47258;87866;56229;102365;13493;24418;13008;23789;3283;5695;7575;13317;27034;50205;9328;16753
31.12.2002;72-Jährige;49160;90511;58538;105602;14271;25243;13617;24276;3456;5972;8170;14171;29072;52844;9514;16599
31.12.2002;73-Jährige;47474;86017;56806;101345;13922;23987;12846;22387;3370;5850;7987;13808;28144;51204;8868;15209
31.12.2002;74-Jährige;47603;84367;56246;99867;13451;22759;12362;20850;3528;6046;8178;13730;27915;50673;8546;14190
31.12.2002;75-Jährige;44962;76831;53860;92324;12545;20384;11097;17929;3311;5423;7743;12671;26920;46557;7850;12251
31.12.2002;76-Jährige;45081;74161;55477;90238;12950;19878;10995;16821;3353;5290;7895;12456;27490;45748;7452;11131
31.12.2002;77-Jährige;45279;71647;55569;86845;12970;19154;10458;15592;3307;5087;8074;12420;27235;44049;7159;10424
31.12.2002;78-Jährige;42323;63963;52951;78985;11624;16464;9488;13587;3099;4571;7657;11301;26291;40393;6452;9115
