GENESIS-Tabelle: Temporär
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen
;;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt
31.12.2002;unter 1 Jahr;35697;73095;79430;163265;16696;34921;3845;7878;15520;31463;8483;17551;12278;25063;8285;16949
31.12.2002;1-Jährige;37457;76345;81990;168335;16656;36458;4028;8223;15378;31779;8671;17889;12854;26147;8449;17292
31.12.2002;2-Jährige;39188;80836;86169;176581;17494;38794;4277;8703;16055;32827;8831;18269;13715;27862;8515;17379
31.12.2002;3-Jährige;39709;81831;87096;178391;19111;39112;4476;9029;15010;30880;8418;17566;13949;28575;8057;16728
31.12.2002;4-Jährige;41315;84984;89622;184248;19994;40860;4476;9201;14430;29531;8338;16916;14191;29110;8069;16476
31.12.2002;5-Jährige;43370;88746;93725;192448;20822;42766;4901;9958;13969;28499;8026;16586;14729;30553;8007;16419
31.12.2002;6-Jährige;42119;86805;92888;190485;20439;42308;4960;10083;13093;26798;7682;15727;14726;30339;7406;15056
31.12.2002;7-Jährige;41397;84656;90626;185733;20289;41364;4825;9821;11784;24046;6954;14394;14179;29122;6602;13790
31.12.2002;8-Jährige;42269;86535;92612;190290;20736;42563;5037;10212;11224;23104;6890;14165;14286;29535;6318;12867
31.12.2002;9-Jährige;43902;90488;97153;199034;21776;44970;5236;10863;11555;23828;7127;14508;15045;30813;6613;13566
31.12.2002;10-Jährige;44620;91317;99250;203996;22736;46037;5532;11251;12421;25535;7867;16210;15347;31352;7327;14849
31.12.2002;11-Jährige;45186;92819;101844;208587;23066;47179;5549;11603;15022;31045;9235;19058;15519;32015;8582;17504
31.12.2002;12-Jährige;46388;95592;104257;214308;23716;48855;5882;12135;23453;48103;14517;30047;15976;32959;13537;27675
