GENESIS-Tabelle: Temporär
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Berlin;Berlin;Brandenburg;Brandenburg;Bremen;Bremen;Hamburg;Hamburg;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern
;;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt
31.12.2002;unter 1 Jahr;51482;99888;58443;114154;14705;28652;9191;17773;2851;5450;7917;15475;28334;55205;6415;12468
31.12.2002;1-Jährige;52712;102792;60476;117380;14458;28283;9223;17970;2917;5709;7869;15413;29023;56612;6651;12920
31.12.2002;2-Jährige;55144;108138;62720;123028;14635;28731;9738;19064;3024;5897;7953;15384;30060;59257;6702;13022
31.12.2002;3-Jährige;57079;110356;64768;125393;14400;28319;9630;18855;2957;5845;7888;15265;30443;59282;6370;12384
31.12.2002;4-Jährige;58257;113404;66200;128975;14079;27598;9556;18495;3054;5963;7786;15359;31297;60904;6155;12117
31.12.2002;5-Jährige;60485;117929;67880;132305;14297;27706;9252;18151;3188;6141;8007;15691;32396;63041;6281;12061
31.12.2002;6-Jährige;59492;116052;67329;131010;13693;26811;8916;17221;3196;6077;7877;15343;31846;62060;5831;11254
31.12.2002;7-Jährige;58640;113971;65849;128208;13085;25611;8115;15770;3009;5969;7533;14562;30805;59934;5183;10123
31.12.2002;8-Jährige;59263;115217;67344;130738;13299;25594;7735;15054;3005;5853;7673;14830;31163;60994;4883;9429
31.12.2002;9-Jährige;61333;119577;70609;137459;13256;25857;7734;15033;3089;5991;7484;14753;32008;62634;5244;9985
31.12.2002;10-Jährige;62252;120805;70895;139086;13955;26925;8541;16513;3217;6205;7786;15298;32319;63383;5806;11290
31.12.2002;11-Jährige;63283;123602;72886;141357;14363;27967;10117;20153;3277;6315;8066;15772;33045;64668;6955;13609
