"time","season","pop","y","o104wk"
1,"2003",82534786,206,0
2,"2003",82534786,206,0
3,"2003",82534786,172,0
4,"2003",82534786,205,0
5,"2003",82534786,165,0
6,"2003",82534786,170,0
7,"2003",82534786,174,0
8,"2003",82534786,165,0
9,"2003",82534786,160,0
10,"2003",82534786,106,0
11,"2003",82534786,145,0
12,"2003",82534786,145,0
13,"2003",82534786,166,0
14,"2003",82534786,141,0
15,"2003",82534786,169,0
16,"2003",82534786,216,0
17,"2003",82534786,214,0
18,"2003",82534786,163,0
19,"2003",82534786,211,0
20,"2003",82534786,194,0
21,"2003",82527998.5664062,229,0
22,"2003",82521210.875,112,0
23,"2003",82514424.125,59,0
24,"2003",82507636.3398438,195,0
25,"2003",82500849,287,0
26,"2003",82500849,365,0
27,"2003",82500849,434,0
28,"2003",82500849,470,0
29,"2003",82500849,533,0
30,"2003",82500849,503,0
31,"2003",82500849,557,0
32,"2003",82500849,621,0
33,"2003",82500849,747,0
34,"2003",82500849,732,0
35,"2003",82500849,739,0
36,"2003",82500849,593,0
37,"2003",82500849,430,0
38,"2003",82500849,383,0
39,"2003",82500849,428,0
40,"2003",82500849,479,0
41,"2003",82500849,431,0
42,"2003",82500849,396,0
43,"2003",82500849,291,0
44,"2003",82500849,319,0
45,"2003",82500849,265,0
46,"2003",82500849,336,0
47,"2003",82500849,311,0
48,"2003",82500849,323,0
49,"2003",82500849,284,0
50,"2003",82500849,291,0
51,"2003",82500849,310,0
52,"2003",82500849,305,0
1,"2004",82500849,357,0
2,"2004",82500849,338,0
3,"2004",82500849,453,0
4,"2004",82500849,383,0
5,"2004",82500849,426,0
6,"2004",82500849,425,0
7,"2004",82500849,412,0
8,"2004",82500849,509,0
9,"2004",82500849,469,0
10,"2004",82500849,557,0
11,"2004",82500849,604,0
12,"2004",82500849,627,0
13,"2004",82500849,739,0
14,"2004",82500849,912,0
15,"2004",82500849,1018,0
16,"2004",82500849,1175,0
17,"2004",82500849,1179,0
18,"2004",82500849,1434,0
19,"2004",82500849,1513,0
20,"2004",82500849,1585,0
21,"2004",82488277.9746094,1785,0
22,"2004",82475707.2441406,2302,0
23,"2004",82463136.8183594,2457,0
24,"2004",82450566.0175781,2093,0
25,"2004",82437995,1933,0
26,"2004",82437995,1637,0
27,"2004",82437995,1556,0
28,"2004",82437995,1455,0
29,"2004",82437995,1515,0
30,"2004",82437995,1447,0
31,"2004",82437995,1447,0
32,"2004",82437995,1259,0
33,"2004",82437995,1231,0
34,"2004",82437995,973,0
35,"2004",82437995,691,0
36,"2004",82437995,892,0
37,"2004",82437995,920,0
38,"2004",82437995,988,0
39,"2004",82437995,930,0
40,"2004",82437995,715,0
41,"2004",82437995,762,0
42,"2004",82437995,660,0
43,"2004",82437995,815,0
44,"2004",82437995,586,0
45,"2004",82437995,534,0
